real,user,sys
6.502,5.810,0.360
6.149,5.800,0.280
6.098,5.800,0.250
6.039,5.680,0.300
6.041,5.720,0.270
5.981,5.700,0.230
6.032,5.790,0.180
5.977,5.650,0.280
5.960,5.560,0.350
5.998,5.720,0.230
6.001,5.670,0.270
6.292,5.870,0.360
6.055,5.680,0.330
5.991,5.730,0.210
6.011,5.700,0.260
5.920,5.680,0.190
6.038,5.720,0.260
5.993,5.720,0.220
5.975,5.670,0.240
6.102,5.770,0.280
6.104,5.790,0.250
6.136,5.910,0.180
5.928,5.600,0.280
5.930,5.570,0.310
5.911,5.600,0.260
5.953,5.680,0.220
5.999,5.730,0.220
6.475,6.230,0.180
6.025,5.650,0.330
6.072,5.740,0.280
5.957,5.600,0.290
5.955,5.630,0.270
6.016,5.720,0.250
5.963,5.700,0.200
5.969,5.650,0.270
6.041,5.730,0.270
6.010,5.670,0.280
6.503,6.130,0.310
6.457,6.120,0.270
6.998,6.590,0.330
7.156,6.660,0.400
6.986,6.690,0.240
7.219,6.710,0.430
6.204,5.860,0.290
6.094,5.880,0.170
6.152,5.910,0.190
6.137,5.740,0.340
6.170,5.900,0.220
6.244,5.960,0.230
6.276,5.890,0.320
