real,user,sys
11.179,10.730,0.260
11.047,10.850,0.130
11.050,10.860,0.150
11.086,10.830,0.210
11.084,10.890,0.150
10.951,10.760,0.150
11.099,10.840,0.220
11.074,10.880,0.150
11.357,11.070,0.250
13.787,13.470,0.260
11.494,11.350,0.100
12.134,11.900,0.180
11.252,11.090,0.120
11.460,11.180,0.240
12.150,11.950,0.160
12.048,11.760,0.240
12.894,12.630,0.210
13.060,12.780,0.240
12.228,12.030,0.150
11.041,10.840,0.160
10.971,10.780,0.150
10.869,10.650,0.180
10.883,10.680,0.160
10.966,10.770,0.150
10.976,10.810,0.130
11.042,10.810,0.190
10.896,10.670,0.190
10.948,10.690,0.220
11.006,10.770,0.200
11.176,10.990,0.150
11.125,10.930,0.150
11.044,10.850,0.160
11.187,10.980,0.170
13.987,13.710,0.210
12.664,12.360,0.240
11.364,11.180,0.140
11.186,11.000,0.150
11.064,10.810,0.220
10.961,10.760,0.160
10.923,10.740,0.140
11.006,10.820,0.160
10.922,10.750,0.140
10.998,10.800,0.150
10.952,10.710,0.190
10.988,10.760,0.190
10.944,10.760,0.150
10.975,10.740,0.200
10.960,10.780,0.140
10.928,10.730,0.160
11.016,10.910,0.070
