real,user,sys
11.881,11.090,0.430
11.120,10.870,0.180
11.150,10.860,0.250
11.002,10.720,0.230
11.200,10.900,0.250
11.615,11.350,0.210
11.230,10.980,0.200
11.291,11.100,0.150
10.981,10.700,0.240
11.140,10.900,0.190
11.015,10.790,0.180
11.102,10.830,0.230
10.981,10.790,0.150
11.232,10.930,0.260
11.250,10.930,0.270
11.369,11.080,0.250
11.270,10.890,0.330
11.241,10.960,0.220
11.389,11.140,0.200
11.136,10.810,0.280
11.040,10.820,0.180
11.108,10.890,0.180
11.062,10.820,0.210
11.077,10.750,0.290
11.148,10.880,0.230
11.127,10.900,0.180
11.200,10.960,0.200
11.170,10.920,0.210
13.039,12.800,0.170
11.491,11.210,0.210
25.717,25.250,0.340
16.307,15.800,0.420
19.064,18.560,0.410
15.856,15.530,0.260
21.040,20.620,0.340
26.555,26.000,0.390
25.839,25.360,0.360
25.790,25.190,0.500
25.859,25.230,0.510
25.728,25.160,0.440
27.799,27.190,0.480
