real,user,sys
5.946,5.660,0.240
5.924,5.700,0.190
5.976,5.750,0.180
5.934,5.620,0.270
5.901,5.690,0.170
5.929,5.670,0.220
5.874,5.650,0.180
5.894,5.580,0.270
5.887,5.620,0.230
5.990,5.720,0.230
6.404,6.150,0.190
6.205,5.980,0.180
6.451,6.150,0.260
6.693,6.230,0.410
6.086,5.910,0.130
5.935,5.730,0.160
5.922,5.730,0.150
5.943,5.600,0.300
5.879,5.590,0.250
5.896,5.590,0.280
5.975,5.660,0.270
5.959,5.670,0.250
5.962,5.670,0.250
5.912,5.630,0.230
5.979,5.660,0.280
6.001,5.760,0.200
5.954,5.610,0.300
5.882,5.690,0.150
5.925,5.610,0.270
5.898,5.670,0.190
5.926,5.570,0.290
5.904,5.650,0.210
5.907,5.660,0.200
5.962,5.720,0.200
5.930,5.680,0.210
5.982,5.790,0.150
6.580,6.240,0.290
5.891,5.680,0.170
6.136,5.830,0.260
5.878,5.620,0.220
5.913,5.620,0.250
5.881,5.600,0.230
6.029,5.730,0.260
5.896,5.650,0.200
5.912,5.640,0.240
6.026,5.800,0.180
5.911,5.590,0.280
6.149,5.890,0.220
6.150,5.930,0.180
5.929,5.730,0.160
