real,user,sys
12.065,11.130,0.560
11.190,10.890,0.220
11.315,11.110,0.160
11.191,10.850,0.260
11.139,10.870,0.220
11.098,10.810,0.230
11.103,10.850,0.200
11.145,10.840,0.230
11.122,10.900,0.150
11.232,10.930,0.250
11.022,10.780,0.180
11.020,10.820,0.150
11.278,11.070,0.140
11.146,10.930,0.160
11.403,11.190,0.130
11.455,11.240,0.160
11.247,11.040,0.150
11.344,11.040,0.220
11.166,10.900,0.220
11.252,11.000,0.190
11.114,10.820,0.250
11.144,10.810,0.280
11.169,10.890,0.220
11.258,10.980,0.220
11.223,10.950,0.210
11.229,10.960,0.200
11.070,10.800,0.210
11.052,10.720,0.290
11.076,10.860,0.140
11.483,11.180,0.250
11.040,10.740,0.230
11.027,10.780,0.200
11.212,10.940,0.220
11.039,10.800,0.190
11.093,10.810,0.230
11.007,10.740,0.200
11.050,10.790,0.210
11.011,10.670,0.280
10.964,10.580,0.330
11.062,10.780,0.210
11.116,10.900,0.160
11.100,10.810,0.220
11.082,10.860,0.170
11.071,10.800,0.210
10.995,10.590,0.340
11.291,11.050,0.190
11.311,10.930,0.310
10.960,10.740,0.180
10.995,10.820,0.120
11.045,10.850,0.140
