real,user,sys
4.641,4.300,0.300
4.598,4.340,0.220
4.722,4.550,0.130
4.746,4.520,0.180
4.882,4.610,0.240
4.736,4.560,0.140
4.667,4.420,0.200
4.907,4.640,0.230
4.859,4.700,0.120
4.735,4.490,0.200
5.319,5.020,0.260
5.274,5.020,0.210
5.289,5.080,0.170
5.272,5.030,0.200
5.302,5.050,0.200
5.458,5.230,0.180
5.372,5.070,0.260
5.384,5.130,0.210
5.393,5.170,0.190
5.590,5.370,0.180
5.512,5.280,0.190
5.489,5.280,0.170
5.601,5.350,0.210
5.347,5.110,0.200
5.354,5.160,0.160
5.551,5.330,0.190
5.332,5.120,0.170
5.341,5.080,0.230
5.327,5.060,0.230
5.343,5.120,0.180
4.643,4.440,0.170
4.748,4.560,0.160
5.100,4.940,0.130
5.127,4.930,0.170
4.665,4.530,0.110
4.745,4.500,0.220
4.712,4.550,0.140
4.928,4.770,0.130
4.915,4.700,0.190
4.833,4.680,0.130
4.682,4.520,0.140
4.786,4.600,0.170
4.600,4.430,0.150
4.558,4.400,0.140
4.566,4.390,0.150
4.561,4.330,0.210
4.519,4.360,0.130
4.560,4.420,0.110
4.569,4.400,0.150
4.548,4.340,0.190
4.712,4.560,0.130
5.080,4.910,0.150
4.641,4.300,0.300
4.598,4.340,0.220
4.722,4.550,0.130
4.746,4.520,0.180
4.882,4.610,0.240
4.736,4.560,0.140
4.667,4.420,0.200
4.907,4.640,0.230
4.859,4.700,0.120
4.735,4.490,0.200
