real,user,sys
8.398,29.084,40.164
8.869,27.548,44.316
8.562,29.452,44.048
8.152,27.772,44.376
7.970,29.580,38.128
8.370,27.156,45.324
8.273,29.560,41.980
8.374,27.968,33.032
8.021,27.724,42.124
7.660,29.800,34.916
8.077,27.256,38.040
8.740,29.108,47.776
8.976,26.576,31.824
8.220,27.200,33.196
8.499,28.320,43.720
7.813,29.196,37.988
8.927,26.484,42.544
8.085,27.580,47.452
8.750,28.416,46.312
8.353,27.228,47.528
7.595,26.332,38.988
8.350,28.860,51.512
8.628,28.252,35.736
8.396,27.848,48.660
8.501,26.940,41.440
8.076,27.504,45.152
8.459,27.064,25.112
9.157,27.648,47.128
8.016,28.176,43.880
8.090,28.916,42.548
