real,user,sys
9.564,18.581,18.765
9.432,18.400,21.198
9.277,18.197,19.417
9.490,19.000,21.057
9.250,18.320,18.652
9.181,18.155,18.291
9.479,18.587,21.328
9.148,18.200,17.462
9.343,18.107,20.216
9.159,17.811,17.246
9.424,18.561,20.128
9.480,18.837,20.259
9.342,18.937,18.639
9.422,18.785,19.402
9.472,18.589,20.918
9.671,18.778,23.219
9.232,18.125,18.507
9.303,18.702,19.095
9.225,18.550,18.846
9.494,18.678,21.425
9.323,18.051,19.273
9.660,19.040,22.926
9.256,18.452,18.142
9.199,18.345,18.410
9.169,18.525,17.536
9.115,17.290,16.574
9.407,18.988,19.472
9.430,18.456,20.517
9.276,18.560,18.435
9.192,17.954,17.577
