real,user,sys
12.055,11.270,0.400
11.431,11.130,0.250
11.198,10.870,0.290
11.167,10.870,0.250
11.378,11.020,0.310
10.999,10.740,0.210
11.320,11.040,0.240
11.328,11.090,0.200
11.284,11.000,0.230
11.109,10.860,0.210
11.126,10.810,0.260
11.124,10.870,0.220
11.177,10.860,0.280
11.095,10.850,0.200
11.194,10.900,0.250
11.047,10.780,0.220
11.032,10.770,0.220
11.364,11.080,0.240
11.136,10.890,0.210
11.148,10.960,0.140
11.212,10.940,0.230
11.107,10.770,0.290
11.081,10.760,0.280
11.085,10.800,0.250
11.181,10.930,0.210
11.117,10.900,0.180
11.149,10.850,0.250
10.969,10.780,0.150
11.298,11.080,0.160
11.157,10.910,0.200
11.250,10.980,0.210
11.070,10.830,0.190
11.203,10.970,0.190
11.300,11.030,0.220
11.291,11.010,0.230
11.010,10.810,0.160
11.191,10.970,0.190
11.092,10.880,0.160
11.343,11.140,0.160
11.049,10.800,0.200
11.209,10.830,0.340
10.995,10.710,0.230
11.089,10.850,0.190
10.940,10.670,0.230
11.076,10.750,0.290
10.980,10.770,0.170
11.190,10.950,0.200
10.990,10.760,0.190
11.100,10.810,0.230
11.066,10.870,0.160
