real,user,sys
18.037,79.464,129.148
17.347,72.724,111.784
17.251,78.692,101.104
17.849,83.952,101.100
17.336,80.128,108.588
17.066,80.304,105.044
17.801,78.948,108.636
17.647,79.088,104.416
16.194,81.416,89.608
18.135,80.212,109.820
17.393,79.332,107.404
17.615,79.920,117.444
17.838,80.068,106.648
17.342,78.212,102.016
18.865,80.016,126.264
18.189,82.060,104.192
17.978,77.472,103.576
17.252,78.124,106.624
17.547,76.752,102.960
16.653,77.304,91.048
17.615,78.728,117.400
17.942,81.772,123.376
18.371,79.460,119.976
17.311,81.668,102.784
18.737,82.580,112.628
17.316,78.196,100.536
17.637,77.884,98.248
17.594,80.588,111.408
17.896,77.944,113.172
18.339,75.864,122.764
