real,user,sys
19.813,47.081,46.836
19.607,45.260,47.411
19.650,47.132,47.239
19.678,46.506,47.919
20.067,48.259,51.292
19.745,47.050,49.075
19.536,45.530,46.785
19.932,47.772,49.645
20.142,47.563,50.943
19.844,47.701,48.464
20.336,47.784,53.870
19.900,46.725,50.619
20.007,47.617,49.304
19.968,47.526,51.291
19.700,47.607,49.391
19.989,47.421,50.583
19.842,46.894,50.164
20.012,48.157,51.321
19.840,46.717,48.926
19.660,46.969,47.789
19.668,47.300,47.283
19.907,47.870,50.315
19.937,47.431,49.011
19.760,46.960,49.057
20.159,46.967,53.381
20.318,47.731,53.395
19.145,45.716,43.203
19.999,46.501,51.749
19.421,45.409,47.608
20.062,47.345,50.905
19.636,47.552,45.870
20.121,48.242,51.760
19.552,46.300,46.552
20.161,48.127,53.399
20.003,48.342,50.923
20.081,46.575,52.479
19.397,44.771,46.661
19.857,47.268,48.522
19.843,47.229,50.416
19.891,47.722,48.637
