real,user,sys
10.713,10.600,0.090
10.818,10.640,0.150
10.814,10.680,0.100
10.833,10.710,0.100
10.700,10.520,0.140
10.743,10.580,0.140
10.727,10.550,0.150
10.675,10.460,0.190
10.685,10.570,0.090
10.726,10.620,0.080
10.658,10.480,0.150
11.515,11.310,0.170
11.038,10.860,0.150
10.875,10.760,0.090
10.795,10.610,0.150
10.673,10.510,0.120
10.650,10.540,0.080
10.653,10.470,0.160
10.685,10.580,0.080
10.965,10.770,0.160
10.724,10.530,0.160
10.681,10.480,0.170
10.787,10.580,0.180
10.708,10.580,0.100
10.738,10.550,0.160
10.697,10.440,0.230
10.688,10.470,0.180
10.661,10.550,0.090
10.709,10.560,0.120
10.721,10.530,0.160
10.731,10.620,0.080
10.707,10.470,0.220
10.673,10.510,0.130
10.683,10.540,0.120
10.735,10.620,0.090
10.722,10.590,0.100
10.708,10.560,0.120
10.747,10.530,0.170
10.674,10.500,0.140
10.698,10.470,0.200
10.748,10.600,0.120
10.712,10.610,0.080
10.710,10.530,0.160
10.703,10.530,0.140
10.670,10.540,0.110
10.693,10.560,0.110
10.697,10.520,0.150
10.656,10.530,0.090
10.695,10.510,0.160
10.705,10.560,0.100
