real,user,sys
8.074,5.933,0.259
5.841,5.689,0.147
5.935,5.771,0.159
5.863,5.669,0.191
5.804,5.619,0.180
6.008,5.784,0.164
5.957,5.797,0.156
5.963,5.803,0.156
5.882,5.720,0.161
5.995,5.834,0.157
5.945,5.744,0.196
6.095,5.941,0.149
5.997,5.830,0.163
5.995,5.814,0.177
5.981,5.834,0.144
5.981,5.758,0.166
5.969,5.761,0.204
6.011,5.847,0.160
6.004,5.842,0.159
6.073,5.885,0.184
6.078,5.902,0.172
6.101,5.936,0.161
5.930,5.769,0.156
6.199,6.018,0.176
6.156,5.959,0.192
6.129,5.873,0.195
5.988,5.827,0.156
6.046,5.884,0.161
5.924,5.692,0.226
5.857,5.673,0.180
6.012,5.853,0.155
5.923,5.747,0.171
5.963,5.807,0.151
5.865,5.700,0.160
5.891,5.703,0.184
6.020,5.736,0.223
5.895,5.698,0.192
5.934,5.782,0.151
5.871,5.624,0.244
5.993,5.821,0.168
5.991,5.818,0.169
5.960,5.796,0.160
6.056,5.903,0.148
5.922,5.730,0.188
5.933,5.729,0.200
6.031,5.788,0.184
6.157,5.994,0.161
5.871,5.698,0.169
6.084,5.931,0.148
6.234,6.038,0.192
