real,user,sys
6.673,2.274,0.223
2.195,2.074,0.119
2.115,1.975,0.138
2.113,1.980,0.129
2.082,1.961,0.118
2.140,2.014,0.124
2.089,1.962,0.124
2.194,2.065,0.127
2.138,1.989,0.147
2.199,2.095,0.101
2.144,2.028,0.113
2.159,2.026,0.131
2.220,2.128,0.090
2.142,2.023,0.117
2.089,1.944,0.130
2.110,1.979,0.128
2.125,1.997,0.122
2.125,2.024,0.099
2.097,1.961,0.134
2.199,2.078,0.119
2.144,2.036,0.107
2.248,2.085,0.102
2.201,2.056,0.143
2.217,2.056,0.158
2.195,2.042,0.151
2.127,1.977,0.146
2.202,2.049,0.151
2.213,2.083,0.128
2.133,2.032,0.099
2.126,1.993,0.130
2.278,2.150,0.123
2.234,2.116,0.115
2.074,1.950,0.122
2.229,2.057,0.170
2.173,2.035,0.136
2.193,2.024,0.166
2.191,2.060,0.128
2.204,2.034,0.167
2.183,2.082,0.099
2.193,2.053,0.135
2.183,2.018,0.162
2.160,2.050,0.107
2.102,1.944,0.158
2.135,1.998,0.134
2.185,2.025,0.155
2.149,2.021,0.125
2.142,2.019,0.120
2.294,2.143,0.147
2.157,2.018,0.133
2.094,1.888,0.147
