real,user,sys
6.222,5.996,0.165
5.853,5.660,0.188
5.839,5.654,0.180
5.895,5.715,0.176
5.882,5.702,0.176
5.921,5.794,0.120
6.117,5.928,0.184
6.161,5.977,0.180
6.309,6.119,0.185
6.192,5.960,0.185
6.176,5.934,0.224
6.488,6.284,0.200
5.992,5.848,0.140
5.861,5.689,0.169
5.863,5.696,0.164
6.020,5.844,0.172
5.861,5.681,0.176
6.152,5.927,0.221
6.072,5.911,0.157
6.058,5.835,0.173
6.024,5.840,0.168
5.881,5.745,0.132
6.005,5.809,0.192
6.225,6.048,0.172
6.016,5.800,0.212
5.821,5.621,0.196
5.853,5.698,0.151
6.071,5.864,0.202
6.241,6.032,0.205
6.093,5.873,0.161
5.957,5.784,0.168
5.865,5.710,0.160
5.826,5.699,0.123
5.878,5.674,0.200
6.165,5.960,0.201
6.227,5.995,0.227
6.140,5.954,0.181
5.961,5.740,0.216
5.869,5.664,0.200
5.935,5.741,0.145
6.012,5.836,0.160
5.929,5.753,0.171
5.932,5.708,0.220
6.038,5.905,0.129
5.887,5.691,0.192
5.948,5.792,0.152
5.911,5.737,0.170
5.910,5.713,0.193
5.885,5.707,0.172
5.927,5.717,0.164
