#Demo3, VirtualBox, Ubuntu
real,user,sys
10.664,6.632,0.424
9.524,6.704,0.336
6.342,6.084,0.140
6.445,6.208,0.212
6.354,6.112,0.204
6.653,6.432,0.196
6.282,6.072,0.188
6.144,5.948,0.180
6.173,5.980,0.172
6.203,6.032,0.148
6.218,6.040,0.160
6.220,6.016,0.184
6.550,6.356,0.172
6.242,6.008,0.192
6.245,6.024,0.156
6.168,5.980,0.152
6.142,5.936,0.184
6.161,5.964,0.180
6.173,5.984,0.168
6.171,5.992,0.156
6.153,5.984,0.152
6.288,6.096,0.172
6.418,6.172,0.220
6.361,6.168,0.148
6.466,6.268,0.176
6.200,5.996,0.184
6.192,6.040,0.132
6.271,6.080,0.172
6.639,6.200,0.172
9.015,6.200,0.332
9.629,6.328,0.216
7.914,6.172,0.224
8.075,6.192,0.180
7.786,6.172,0.236
6.638,6.048,0.160
6.339,6.048,0.140
6.189,5.980,0.164
6.266,6.068,0.152
6.490,6.244,0.200
6.202,5.956,0.204
6.174,5.916,0.196
6.156,5.952,0.160
6.100,5.924,0.136
6.239,6.024,0.176
6.179,5.976,0.160
6.348,6.068,0.152
7.098,6.104,0.180
6.434,5.968,0.188
6.809,5.916,0.184
6.744,5.948,0.220
