real,user,sys
11.906,11.585,0.213
11.638,11.495,0.136
11.618,11.442,0.168
11.771,11.566,0.196
11.280,11.114,0.160
12.009,11.779,0.161
11.428,11.263,0.160
11.825,11.620,0.199
11.902,11.745,0.152
11.021,10.855,0.160
11.902,11.659,0.176
12.485,12.296,0.181
12.478,12.299,0.173
12.149,11.957,0.180
12.206,12.084,0.116
12.536,12.281,0.192
12.330,12.148,0.176
11.845,11.662,0.176
11.719,11.582,0.132
11.999,11.817,0.176
11.967,11.750,0.153
12.069,11.885,0.181
11.786,11.640,0.140
11.441,11.288,0.148
11.476,11.265,0.206
11.534,11.318,0.152
11.695,11.522,0.166
11.653,11.485,0.159
11.411,11.214,0.192
11.571,11.402,0.156
11.375,11.072,0.244
11.824,11.664,0.152
11.808,11.616,0.185
11.322,11.194,0.124
11.423,11.229,0.188
11.394,11.199,0.188
11.781,11.515,0.192
11.746,11.600,0.140
11.307,11.126,0.177
11.378,11.195,0.177
11.322,11.191,0.124
11.423,11.187,0.176
11.317,11.183,0.128
11.602,11.406,0.184
11.367,11.165,0.197
11.866,11.680,0.179
11.414,11.182,0.168
11.246,11.070,0.172
11.399,11.232,0.160
12.286,12.118,0.161
