real,user,sys
11.495,11.317,0.172
11.321,11.079,0.180
11.291,11.140,0.144
11.361,11.207,0.148
11.333,11.124,0.204
11.594,11.466,0.121
11.670,11.428,0.180
11.213,11.031,0.172
11.422,11.316,0.103
11.424,11.243,0.176
11.759,11.594,0.160
11.519,11.295,0.164
11.840,11.657,0.177
11.939,11.794,0.136
11.663,11.508,0.148
11.947,11.800,0.140
11.653,11.439,0.156
11.644,11.440,0.199
11.675,11.520,0.148
11.833,11.637,0.188
11.750,11.573,0.172
11.805,11.581,0.164
11.781,11.596,0.176
11.611,11.455,0.151
11.492,11.332,0.156
11.503,11.328,0.164
11.647,11.500,0.140
11.693,11.481,0.152
11.514,11.354,0.155
11.414,11.268,0.144
11.567,11.393,0.167
11.518,11.377,0.136
11.485,11.251,0.171
11.511,11.342,0.164
11.501,11.320,0.176
11.298,11.162,0.132
11.427,11.236,0.184
11.523,11.275,0.187
11.388,11.214,0.168
11.506,11.337,0.164
11.704,11.497,0.204
11.438,11.274,0.160
11.533,11.250,0.221
11.474,11.301,0.168
11.775,11.614,0.156
11.639,11.462,0.169
11.481,11.324,0.152
11.625,11.385,0.180
11.520,11.343,0.172
11.443,11.278,0.160
