real,user,sys
11.864,11.671,0.187
11.957,11.810,0.140
11.637,11.447,0.184
11.815,11.584,0.168
11.821,11.630,0.184
11.744,11.591,0.147
11.854,11.716,0.131
12.197,12.025,0.168
11.899,11.687,0.152
11.393,11.198,0.184
11.652,11.507,0.139
11.470,11.287,0.176
11.371,11.202,0.164
11.540,11.348,0.188
11.813,11.580,0.172
11.889,11.733,0.144
11.882,11.697,0.180
12.089,11.924,0.160
11.911,11.706,0.200
11.937,11.722,0.156
11.661,11.488,0.168
11.696,11.484,0.200
11.814,11.616,0.192
11.626,11.477,0.144
11.666,11.454,0.152
11.823,11.630,0.187
11.886,11.689,0.192
11.564,11.415,0.145
11.698,11.522,0.172
11.731,11.509,0.164
11.817,11.648,0.165
12.010,11.832,0.172
11.915,11.721,0.185
11.744,11.512,0.228
11.619,11.366,0.196
11.620,11.475,0.140
11.567,11.409,0.152
11.616,11.446,0.164
11.707,11.516,0.184
11.543,11.282,0.201
11.666,11.501,0.160
11.637,11.467,0.164
11.843,11.690,0.148
11.479,11.295,0.180
11.705,11.458,0.188
11.393,11.275,0.112
11.711,11.517,0.188
11.855,11.664,0.184
11.880,11.711,0.164
11.739,11.488,0.192
