#Demo2, VirtualBox, Ubuntu
real,user,sys
15.782,11.856,0.480
14.575,11.708,0.396
13.582,11.664,0.336
11.545,11.256,0.220
11.562,11.396,0.132
12.473,12.272,0.164
12.495,12.308,0.168
12.005,11.812,0.180
12.747,12.516,0.208
11.941,11.732,0.184
11.683,11.468,0.180
11.514,11.336,0.140
11.474,11.364,0.092
11.467,11.320,0.132
11.498,11.328,0.156
12.367,12.116,0.184
12.913,12.088,0.300
12.635,12.168,0.168
12.068,11.880,0.168
11.800,11.564,0.216
11.551,11.360,0.160
11.467,11.296,0.140
11.580,11.436,0.128
11.453,11.316,0.120
11.480,11.260,0.200
11.812,11.632,0.164
13.712,13.488,0.184
18.788,13.208,0.244
14.533,11.936,0.340
12.836,11.392,0.148
11.497,11.308,0.140
11.509,11.328,0.144
11.925,11.384,0.184
11.593,11.332,0.116
11.463,11.272,0.180
11.536,11.364,0.136
11.445,11.332,0.096
11.591,11.460,0.116
11.456,11.300,0.140
11.438,11.332,0.088
11.485,11.304,0.148
11.466,11.296,0.136
11.454,11.296,0.140
11.440,11.296,0.128
11.428,11.256,0.152
11.436,11.244,0.152
12.468,12.224,0.156
11.934,11.760,0.156
11.464,11.292,0.156
11.454,11.252,0.184
