real,user,sys
14.702,12.548,0.332
14.390,12.756,0.320
15.923,12.616,0.328
14.443,12.352,0.292
13.207,12.268,0.200
15.206,12.552,0.264
14.952,13.160,0.252
14.205,13.968,0.180
12.927,12.524,0.168
12.616,12.396,0.172
13.166,12.992,0.120
13.995,13.488,0.184
12.652,12.460,0.132
12.902,12.704,0.124
13.591,13.376,0.160
13.151,12.920,0.164
13.180,12.984,0.144
13.280,13.036,0.176
12.857,12.652,0.156
12.845,12.660,0.136
12.798,12.580,0.168
13.229,13.028,0.152
13.505,13.236,0.192
13.610,13.388,0.168
14.103,13.676,0.164
14.297,12.984,0.164
13.673,12.544,0.232
13.076,12.528,0.132
14.964,12.668,0.176
13.554,12.488,0.152
12.591,12.384,0.152
12.703,12.396,0.128
12.582,12.388,0.140
12.859,12.676,0.116
12.614,12.380,0.180
12.565,12.360,0.132
12.561,12.368,0.140
12.540,12.316,0.172
12.556,12.360,0.148
12.608,12.412,0.144
13.089,12.580,0.172
12.617,12.400,0.164
12.655,12.464,0.140
12.634,12.436,0.132
12.740,12.536,0.152
12.629,12.396,0.156
12.644,12.464,0.128
12.724,12.524,0.140
12.585,12.372,0.160
12.803,12.608,0.124
